"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1860527915970216058","Mon Nov 25 02:07:16 +0000 2024","0","@DokterTifa @prabowo jasa titip menitip","1860867822270009748","","DokterTifa","in","","0","0","0","https://x.com/cikalakelis/status/1860867822270009748","1662872332900388864","cikalakelis"
"1860568107443716557","Mon Nov 25 02:06:53 +0000 2024","0","@Wielujeng229 @realfedinuril @Uki23 @prabowo Emang sengaja sama tim Prabowo penjilat Mulyono pd zamannya yg sering jelek2in Pak @prabowo diberi jabatan biar masyarakat pd tau se-ANJING apa mereka hahahaha nanti pd akhirnya kena jebakan batman masuk buih semua tuh gara2 kasus Korupsi .... yakin gw","1860867723431153994","","Wielujeng229","in","","0","0","0","https://x.com/wak_ebang/status/1860867723431153994","984062160530632704","wak_ebang"
"1860867702312837267","Mon Nov 25 02:06:48 +0000 2024","0","Usai Kunjungan ke London Presiden Prabowo Tiba di Abu Dhabi https://t.co/m2zdcKpsIp","1860867702312837267","","","in","Pulo Gadung, Indonesia","0","0","0","https://x.com/haloindonesia88/status/1860867702312837267","917728330094280711","haloindonesia88"
"1860817313467105310","Mon Nov 25 02:06:41 +0000 2024","0","@ranofardian Gokil sih Pak Prabowo ningkatin hubungan internasional secara epic. #EkonomiIndonesia","1860867676022993274","","ranofardian","in","","0","0","0","https://x.com/bagas_p245/status/1860867676022993274","1699717733649362944","bagas_p245"
"1860862749460627668","Mon Nov 25 02:06:36 +0000 2024","0","@Gerindra @prabowo mantap pak program makanan gratis dibatalin aja","1860867655093379570","","Gerindra","in","Makassar, Indonesia","0","0","0","https://x.com/billykisti1887/status/1860867655093379570","1852174839244820481","billykisti1887"
"1860817313467105310","Mon Nov 25 02:06:34 +0000 2024","0","@ranofardian Hubungan internasional semakin kokoh lewat upaya diplomasi Presiden Prabowo. #EkonomiIndonesia","1860867643680665993","","ranofardian","in","","0","0","0","https://x.com/oliva_vanesa99/status/1860867643680665993","1711220881874452480","oliva_vanesa99"
"1860502467244622002","Mon Nov 25 02:06:32 +0000 2024","0","@secr3thm4nz56 @EdiKeceput2 Prabowo apa katanya mentor..","1860867637221400900","","secr3thm4nz56","in","","0","0","0","https://x.com/NAsBtati/status/1860867637221400900","1509668243975585794","NAsBtati"
"1860843927039004813","Mon Nov 25 02:06:16 +0000 2024","1","@Hasbil_Lbs @Top8rendusara Enggaklah. Masyarakat juga tahu ini antara memilih petugas rakyat yang didukung SBY-Jokowi-Prabowo atau petugas partai yang didukung Mega. Sesederhana itu.","1860867567700910083","","Hasbil_Lbs","in","","0","1","1","https://x.com/didik_lp/status/1860867567700910083","1517576896787410944","didik_lp"
"1860413051293384930","Mon Nov 25 02:06:11 +0000 2024","0","@maskokooo @jembermfs Gaoleh ngunu mas wkwkwk aku meskipun ktp lumajang menetap nde jember suwi first impression ndelok calon iki ra genah blas kampanye solawat cinta background e khofifa karo prabowo. Bedo banget karo sebelah seng ra nggowo background wonth nduwur ra nggowo agomo pisan ","1860867549954756998","","maskokooo","in","","0","1","0","https://x.com/FirdausRahmatH/status/1860867549954756998","1547644644","FirdausRahmatH"
"1860845387067896137","Mon Nov 25 02:05:46 +0000 2024","1","@H4T14K4LN4L42 1) Di KTT APEC Prabowo bilang Indo butuh Rp9.542 T utk Hilirisasi 26 Komoditas 2) Sudah makin jelas Paradigma PrabowoNomics: Hutang + Pajak + Keruk Tambang &amp; Hilirisasi 3) Tidak ada Reformasi Struktural Ekonomi. 4) PrabowoNomics = JokowiNomics","1860867443004166390","","H4T14K4LN4L42","in","","0","1","0","https://x.com/meliksumanandar/status/1860867443004166390","1626014171497385984","meliksumanandar"
"1860867439174521220","Mon Nov 25 02:05:45 +0000 2024","0","Presiden Prabowo Akan Mencoblos di TPS 08 Dekat Kediamannya di Sentul Bogor https://t.co/T5gXBnudS4","1860867439174521220","","","in","Bogor, Indonesia","0","0","0","https://x.com/MediaVoi/status/1860867439174521220","1578222594","MediaVoi"
"1860227903935644013","Mon Nov 25 02:05:38 +0000 2024","0","@vanc1Bozz @prabowo Anjing babi biadap semuanya potong aja kontol semua baby biadap","1860867408304705978","","vanc1Bozz","in","","0","0","0","https://x.com/rianefendi73192/status/1860867408304705978","1678652819543564288","rianefendi73192"
"1746891662809518589","Mon Nov 25 02:05:24 +0000 2024","0","@Sela28148259 @prabowo @gibran_tweet Mohon maaf atas ketidaknyamanannya. Jika hingga saat ini masih terdapat kendala di lokasi Bapak/Ibu @Sela28148259 mohon dapat diinformasikan detail kendala dan data kepelangganan melalui DM agar kami bantu laporkan ya. Terima kasih *JA","1860867349597016114","","Sela28148259","in","DKI Jakarta","0","0","0","https://x.com/pamjaya_dki/status/1860867349597016114","2908685618","pamjaya_dki"
"1860867338465382415","Mon Nov 25 02:05:21 +0000 2024","0","Udah kyak manajemen Indo","1860867338465382415","","","in","Rock Bottom","0","0","0","https://x.com/BachtiarKill/status/1860867338465382415","400126187","BachtiarKill"
"1860816808988848596","Mon Nov 25 02:05:20 +0000 2024","0","@ranofardian Kami percaya pada kepemimpinan Prabowo #BersamaBerantasJudiOnline","1860867334560448534","","ranofardian","in","","0","0","0","https://x.com/taswir_narpti29/status/1860867334560448534","1701176237820178432","taswir_narpti29"
"1860867310476800441","Mon Nov 25 02:05:14 +0000 2024","0","Buat loyalis prabowo apa rela diketekin Mulyono.. Silhkan tentukan pilihan","1860867310476800441","","","in","","0","0","0","https://x.com/NPlangaplongo/status/1860867310476800441","1191146621926400000","NPlangaplongo"
"1860531123975258303","Mon Nov 25 02:04:52 +0000 2024","0","@BANGSAygSUJUD @prabowo @99propaganda @florieliciouss @Ndons_Back @are_inismyname @zy_zy_lestary @Kimberley_PS08 @yusufagro @G3nX_files @0ctoberR1 Memang mau.hormat bemdera bukan karena seperti palestine","1860867218688573772","","BANGSAygSUJUD","in","","0","0","0","https://x.com/Jumiasri/status/1860867218688573772","608839364","Jumiasri"
"1860750477312598402","Mon Nov 25 02:04:47 +0000 2024","0","@LuwisAlfredo Pak Prabowo emang paham kebutuhan anak-anak. Program ini luar biasa! #PapuaBergizi","1860867197561966728","","LuwisAlfredo","in","","0","0","0","https://x.com/cahyo_hidayat24/status/1860867197561966728","1699315824811757568","cahyo_hidayat24"
"1860484430110024150","Mon Nov 25 02:04:14 +0000 2024","0","@prabowo Mengingatkan https://t.co/L3FMk8vT4U","1860867057824543018","","DS_yantie","in","","0","0","0","https://x.com/DS_yantie/status/1860867057824543018","1374686160748830724","DS_yantie"
"1860309280014090643","Mon Nov 25 02:04:12 +0000 2024","0","@siregar_najeges Coba tunggu @prabowo komitmen anti korupsi dan anti judol. Berani gak sama si Budi.","1860867051168108709","","siregar_najeges","in","Jakarta","0","0","0","https://x.com/kangmirdja/status/1860867051168108709","72010193","kangmirdja"
"1860856211475956014","Mon Nov 25 02:04:07 +0000 2024","0","@tempodotco jurkam itu bernama Prabowo","1860867027751305688","","tempodotco","in","","0","0","0","https://x.com/nanda_xxi/status/1860867027751305688","1287460240267517952","nanda_xxi"
"1858397651714424910","Mon Nov 25 02:04:00 +0000 2024","0","@Uki23 Sekelas jubir aja sampai 5 ekor. Ini serius sebuah ketololan yg di pertontonkan pemerintahan @prabowo . Pemborosan anggaran. Pajak rakyat hanya utk menggaji dan memberi fasilitas manusia² menjijikan macam begini. Anjing bener!","1860866998617403494","","Uki23","in","","0","0","0","https://x.com/HaryaA01/status/1860866998617403494","1802397891199471616","HaryaA01"
"1860866850353205646","Mon Nov 25 02:03:25 +0000 2024","0","Issue SARA Yang Dihembuskan Maruarar Membahayakan Persatuan dan Toleransi di Jakarta. Kalau di era Soeharto Langsung dicopot menteri ini. @prabowo @Gerindra","1860866850353205646","","","in","Jakarta selatan","0","0","0","https://x.com/ibnupurna/status/1860866850353205646","207559187","ibnupurna"
"1860866784905302324","Mon Nov 25 02:03:09 +0000 2024","0","#DukungTransmigrasiPapua Prabowo Pemimpin Berpengalaman Pemimpin Inovatif https://t.co/BjR19agy29","1860866784905302324","https://pbs.twimg.com/media/GdMgeWLaYAAM1CC.jpg","","in","Medan Timur, Indonesia","0","0","0","https://x.com/Elissa08753769/status/1860866784905302324","1563646524696961024","Elissa08753769"
"1860750477312598402","Mon Nov 25 02:02:58 +0000 2024","0","@LuwisAlfredo Terima kasih Pak Prabowo! Makanan bergizi ini bikin anak-anak lebih mandiri. #PapuaBergizi","1860866739527205290","","LuwisAlfredo","in","","0","0","0","https://x.com/nasha_razeta9/status/1860866739527205290","1699317707701940224","nasha_razeta9"
